,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1215,35,1,146,1,2,4,5,1,1704,1,1,79,2,1,7,4,0,4930,13970,0,0,0,14,3,3,80,0,6,2,4,5,4,1,4
1251,30,0,979,2,15,2,4,1,1754,3,1,94,2,3,3,1,2,7140,3088,2,0,1,11,3,1,80,1,12,2,3,7,7,1,7
45,41,0,1360,1,12,3,2,1,58,2,0,49,3,5,4,3,1,19545,16280,1,0,1,12,3,4,80,0,23,0,3,22,15,15,8
850,32,2,862,2,2,1,1,1,1190,3,0,76,3,1,6,1,2,2827,14947,1,0,1,12,3,3,80,3,1,3,3,1,0,0,0
158,40,0,630,2,4,4,4,1,215,3,1,67,2,3,3,4,1,10855,8552,7,0,1,11,3,1,80,1,15,2,2,12,11,2,11
851,56,0,718,1,4,4,2,1,1191,4,0,92,3,5,8,1,2,19943,18575,4,0,1,13,3,4,80,1,28,2,3,5,2,4,2
936,45,1,364,1,25,3,5,1,1306,2,0,83,3,5,8,2,0,18061,13035,3,0,1,22,4,3,80,0,22,4,3,0,0,0,0
613,34,0,829,0,3,2,0,1,847,3,1,88,3,1,5,4,1,3737,2243,0,0,1,19,3,3,80,1,4,1,1,3,2,0,2
1376,38,0,1206,1,9,2,1,1,1940,2,1,71,3,1,7,4,2,4771,14293,2,0,1,19,3,4,80,2,10,0,4,5,2,0,3
1234,47,2,543,2,2,4,4,1,1731,3,1,87,3,2,3,2,1,4978,3536,7,0,1,11,3,4,80,1,4,3,1,1,0,0,0
1025,24,0,1476,2,4,1,5,1,1445,4,0,42,3,2,3,3,1,4162,15211,1,0,0,12,3,3,80,2,5,3,3,5,4,0,3
499,33,0,1216,2,8,4,4,1,677,3,1,39,3,2,3,3,2,7104,20431,0,0,1,12,3,4,80,0,6,3,3,5,0,1,2
297,35,0,1232,2,16,3,4,1,406,3,1,96,3,3,3,2,1,8020,5100,0,0,1,15,3,3,80,2,12,3,2,11,9,6,9
539,50,0,316,2,8,4,4,1,738,4,1,54,3,1,6,2,1,3875,9983,7,0,1,15,3,4,80,1,4,2,3,2,2,2,2
674,58,0,1272,1,5,3,2,1,940,3,0,37,2,3,0,2,2,10552,9255,2,0,0,13,3,4,80,1,24,3,3,6,0,0,4
876,20,0,654,2,21,3,4,1,1226,3,1,43,4,1,6,4,0,2678,5050,1,0,1,17,3,4,80,0,2,2,3,2,1,2,2
144,32,1,689,2,9,2,5,1,195,4,1,35,1,2,3,4,2,4668,22812,0,0,1,17,3,4,80,3,9,2,4,8,7,0,7
1432,37,0,161,1,10,3,1,1,2017,3,0,42,4,3,4,4,1,13744,15471,1,0,0,25,4,1,80,1,16,2,3,16,11,6,8
715,33,1,827,1,1,4,3,1,998,3,0,84,4,2,0,2,1,5488,20161,1,0,0,13,3,1,80,1,6,2,3,6,5,1,2
1454,45,0,374,2,20,3,1,1,2046,4,0,50,3,2,3,3,0,4850,23333,8,0,1,15,3,3,80,0,8,3,3,5,3,0,1
627,52,1,890,1,25,4,5,1,867,3,0,81,2,4,1,4,1,13826,19028,3,0,1,22,4,3,80,0,31,3,3,9,8,0,0
486,37,0,558,2,2,3,4,1,656,4,1,75,3,2,3,3,1,9602,3010,4,0,0,11,3,3,80,1,17,3,2,3,0,1,0
988,41,1,1200,1,22,3,1,1,1392,4,0,75,3,2,7,4,2,5467,13953,3,0,0,14,3,1,80,2,12,4,2,6,2,3,3
664,36,0,1425,1,14,1,1,1,924,3,1,68,3,2,0,4,1,6586,4821,0,0,0,17,3,1,80,1,17,2,2,16,8,4,11
953,44,0,935,1,3,3,1,1,1333,1,1,89,3,1,2,1,1,2362,14669,4,0,1,12,3,3,80,0,10,4,4,3,2,1,2
606,34,1,702,1,16,4,1,1,838,3,0,100,2,1,7,4,0,2553,8306,1,0,1,16,3,3,80,0,6,3,3,5,2,1,3
446,41,2,267,2,10,2,1,1,599,4,1,56,3,2,3,4,0,6230,13430,7,0,1,14,3,4,80,0,16,3,3,14,3,1,10
709,31,2,335,1,9,2,5,1,991,3,1,46,2,1,7,1,0,2321,10322,0,0,0,22,4,1,80,0,4,0,3,3,2,1,2
1342,34,0,1480,2,4,3,1,1,1882,3,1,64,3,3,3,4,1,9713,24444,2,0,0,13,3,4,80,3,9,3,3,5,3,1,0
776,20,1,769,2,9,3,4,1,1077,4,0,54,3,1,6,4,0,2323,17205,1,0,0,14,3,2,80,0,2,3,3,2,2,0,2
1278,36,0,1383,1,10,3,1,1,1790,4,1,90,3,3,0,1,1,8321,25949,7,0,0,13,3,4,80,1,15,1,3,12,8,5,7
802,33,1,970,2,7,3,1,1,1114,4,0,30,3,2,3,2,1,4302,13401,0,0,1,17,3,3,80,1,4,3,3,3,2,0,2
24,34,0,699,1,6,1,5,1,31,2,1,83,3,1,7,1,0,2960,17102,2,0,1,11,3,3,80,0,8,2,3,4,2,1,3
493,44,0,1112,0,1,4,1,1,665,1,0,50,2,2,5,3,0,5985,26894,4,0,1,11,3,2,80,0,10,1,4,2,2,0,2
734,22,0,217,1,8,1,1,1,1019,2,1,94,1,1,2,1,1,2451,6881,1,0,1,15,3,1,80,1,4,3,2,4,3,1,1
289,28,0,1117,1,8,2,1,1,395,4,0,66,3,1,7,4,0,3310,4488,1,0,1,21,4,4,80,0,5,3,3,5,3,0,2
611,35,0,950,1,7,3,3,1,845,3,1,59,3,3,1,3,0,10221,18869,3,0,1,21,4,2,80,0,17,3,4,8,5,1,6
716,41,1,840,1,9,3,5,1,999,1,1,64,3,5,4,3,2,19419,3735,2,0,1,17,3,2,80,1,21,2,4,18,16,0,11
890,54,1,966,1,1,4,1,1,1245,4,0,53,3,3,1,3,2,10502,9659,7,0,1,17,3,1,80,1,33,2,1,5,4,1,4
1463,31,2,325,1,5,3,5,1,2057,2,1,74,3,2,1,1,0,9936,3787,0,0,1,19,3,2,80,0,10,2,3,9,4,1,7
896,31,0,1062,1,24,3,5,1,1252,3,0,96,2,2,0,1,0,6812,17198,1,0,1,19,3,2,80,0,10,2,3,10,9,1,8
1268,53,2,661,1,1,4,5,1,1775,1,0,60,2,4,1,3,1,12965,22308,4,0,0,20,4,4,80,3,27,2,2,3,2,0,2
183,50,0,328,1,1,3,5,1,249,3,1,86,2,1,2,3,1,3690,3425,2,0,1,15,3,4,80,1,5,2,2,3,2,0,2
1403,39,0,119,2,15,4,4,1,1975,2,1,77,3,4,3,1,0,13341,25098,0,0,1,12,3,1,80,0,21,3,3,20,8,11,10
1214,44,0,921,1,2,3,1,1,1703,3,0,96,4,3,0,4,1,7879,14810,1,0,0,19,3,2,80,1,9,2,3,8,7,6,7
739,27,0,1055,1,2,4,1,1,1027,1,0,47,3,2,1,4,1,4227,4658,0,0,1,18,3,2,80,1,4,2,3,3,2,2,2
236,33,0,465,1,2,2,1,1,328,1,0,39,3,1,2,1,1,2707,21509,7,0,1,20,4,1,80,0,13,3,4,9,7,1,7
210,32,0,1045,2,4,4,5,1,291,4,1,32,1,3,3,4,1,10400,25812,1,0,1,11,3,3,80,0,14,2,2,14,8,9,8
945,50,0,1322,1,28,3,1,1,1317,4,0,43,3,4,4,1,1,16880,22422,4,0,0,11,3,2,80,0,25,2,3,3,2,1,2
239,32,0,515,1,1,3,1,1,331,4,1,62,2,1,2,3,0,3730,9571,0,0,0,14,3,4,80,0,4,2,1,3,2,1,2
958,34,0,943,1,9,3,1,1,1344,4,1,86,3,3,0,4,2,8500,5494,0,0,1,11,3,4,80,1,10,0,2,9,7,1,6
1077,29,0,224,1,1,4,2,1,1522,1,1,100,2,1,7,1,0,2362,7568,6,0,1,13,3,3,80,0,11,2,1,9,7,0,7
201,49,2,1002,1,18,4,1,1,275,4,1,92,3,2,1,4,2,6804,23793,1,0,0,15,3,1,80,2,7,0,3,7,7,1,7
1398,33,1,1303,1,7,2,1,1,1970,4,1,36,3,2,0,3,2,5968,18079,1,0,1,20,4,3,80,3,9,2,3,9,7,2,8
11,29,0,153,1,15,2,1,1,15,4,0,49,2,2,2,3,0,4193,12682,0,0,0,12,3,4,80,0,10,3,3,9,5,0,8
906,34,0,1320,1,20,3,2,1,1265,3,0,89,4,1,7,3,1,2585,21643,0,0,1,17,3,4,80,0,2,5,2,1,0,0,0
1175,39,0,492,1,12,3,5,1,1654,4,1,66,3,2,1,2,1,5295,7693,4,0,1,21,4,3,80,0,7,3,3,5,4,1,0
1435,44,0,1037,1,1,3,5,1,2020,2,1,42,3,1,7,4,0,2436,13422,6,0,0,12,3,3,80,0,6,2,3,4,3,1,2
409,42,1,532,1,29,2,1,1,547,1,0,92,3,2,7,3,2,4556,12932,2,0,1,11,3,2,80,1,19,3,3,5,4,0,2
491,43,1,1001,1,9,5,5,1,663,4,1,72,3,2,2,3,2,5679,19627,3,0,0,13,3,2,80,1,10,3,3,8,7,4,7
998,26,0,683,1,2,1,5,1,1407,1,1,36,2,1,7,4,0,3904,4050,0,0,1,12,3,4,80,0,5,2,3,4,3,1,1
1191,31,0,1112,2,5,4,1,1,1673,1,0,67,3,2,3,4,1,5476,22589,1,0,1,11,3,1,80,2,10,2,3,10,0,0,2
877,46,0,150,1,2,4,2,1,1228,4,1,60,3,2,1,4,2,7379,17433,2,0,1,11,3,3,80,1,12,3,2,6,3,1,4
1448,41,0,930,2,3,3,1,1,2037,3,1,57,2,2,3,2,2,8938,12227,2,0,1,11,3,3,80,1,14,5,3,5,4,0,4
1391,38,0,1404,2,1,3,1,1,1961,1,1,59,2,1,6,1,0,2858,11473,4,0,1,14,3,1,80,0,20,3,2,1,0,0,0
498,22,0,604,1,6,1,5,1,675,1,1,69,3,1,7,3,1,2773,12145,0,0,1,20,4,4,80,0,3,3,3,2,2,2,2
121,33,2,750,2,22,2,4,1,160,3,1,95,3,2,3,2,1,6146,15480,0,0,1,13,3,1,80,1,8,2,4,7,7,0,7
1381,28,2,1103,1,16,3,5,1,1947,3,1,49,3,1,7,3,0,2144,2122,1,0,1,14,3,3,80,0,5,3,2,5,3,1,4
367,50,0,1046,1,10,3,2,1,491,4,1,100,2,3,0,4,0,10496,2755,6,0,1,15,3,4,80,0,20,2,3,4,3,1,3
154,32,1,967,2,8,3,4,1,207,2,0,43,3,3,3,4,0,8998,15589,1,0,1,14,3,4,80,0,9,2,3,9,8,3,7
796,25,0,1219,1,4,1,2,1,1106,4,1,32,3,1,2,4,1,3691,4605,1,0,0,15,3,2,80,1,7,3,4,7,7,5,6
118,36,0,922,1,3,2,1,1,155,1,0,39,3,1,2,4,2,2835,2561,5,0,1,22,4,1,80,1,7,2,3,1,0,0,0
589,29,0,805,1,1,2,1,1,816,2,0,36,2,1,2,1,1,2319,6689,1,0,0,11,3,4,80,1,1,1,3,1,0,0,0
996,27,0,205,2,10,3,4,1,1403,4,0,98,2,2,3,4,1,5769,7100,1,0,0,11,3,4,80,0,6,3,3,6,2,4,4
1176,49,0,301,1,22,4,3,1,1655,1,0,72,3,4,4,2,1,16413,3498,3,0,1,16,3,2,80,2,27,2,3,4,2,1,2
37,35,0,890,2,2,3,4,1,49,4,0,97,3,1,6,4,1,2014,9687,1,0,1,13,3,1,80,0,2,3,3,2,2,2,2
1429,39,0,116,1,24,1,1,1,2014,1,1,52,3,2,7,4,0,4108,5340,7,0,1,13,3,1,80,0,18,2,3,7,7,1,7
567,34,0,304,2,2,3,3,1,786,4,1,60,3,2,3,4,0,6274,18686,1,0,1,22,4,3,80,0,6,5,3,6,5,1,4
42,26,0,1357,1,25,3,1,1,55,1,1,48,1,1,2,3,0,2293,10558,1,0,1,12,3,3,80,0,1,2,2,1,0,0,1
659,28,0,821,2,5,4,5,1,916,1,1,98,3,2,3,4,0,4908,24252,1,0,1,14,3,2,80,0,4,3,3,4,2,0,2
394,31,0,480,1,7,2,5,1,524,2,0,31,3,2,1,1,1,4306,4156,1,0,1,12,3,2,80,1,13,5,1,13,10,3,12
1245,24,1,897,0,10,3,5,1,1746,1,1,59,3,1,5,4,1,2145,2097,0,0,1,14,3,4,80,1,3,2,3,2,2,2,1
1208,34,0,1157,1,5,2,5,1,1696,2,1,57,2,2,2,4,1,3986,11912,1,0,1,14,3,3,80,1,15,3,4,15,10,4,13
169,32,0,120,1,6,5,1,1,231,3,1,43,3,1,7,3,0,3038,12430,3,0,1,20,4,1,80,0,8,2,3,5,4,1,4
1107,38,1,888,0,10,4,0,1,1563,3,1,71,3,2,5,3,1,6077,14814,3,0,1,11,3,3,80,0,10,2,3,6,3,1,2
261,38,2,1327,2,2,2,1,1,361,4,1,39,2,2,3,4,1,5249,19682,3,0,1,18,3,4,80,1,13,0,3,8,7,7,5
931,30,2,879,1,9,2,5,1,1298,3,0,72,3,2,1,3,0,4695,12858,7,0,0,18,3,3,80,0,10,3,3,8,4,1,7
1273,22,0,1294,1,8,1,5,1,1783,3,0,79,3,1,2,1,1,2398,15999,1,0,0,17,3,3,80,0,1,6,3,1,0,0,0
675,31,0,154,2,7,4,1,1,941,2,1,41,2,1,6,3,1,2329,11737,3,0,1,15,3,2,80,0,13,2,4,7,7,5,2
1362,45,1,1297,1,1,4,5,1,1922,2,1,44,3,2,0,3,0,5399,14511,4,0,1,12,3,3,80,0,12,3,3,4,2,0,3
1115,34,0,479,1,7,4,5,1,1577,1,1,35,3,1,7,4,0,2972,22061,1,0,1,13,3,3,80,0,1,4,1,1,0,0,0
612,28,0,760,2,2,4,4,1,846,2,0,81,3,2,3,2,1,4779,3698,1,0,0,20,4,1,80,0,8,2,3,8,7,7,5
206,22,0,1136,1,5,3,1,1,284,4,1,60,4,1,7,2,2,2328,12392,1,0,0,16,3,1,80,1,4,2,2,4,2,2,2
300,41,0,334,2,2,4,1,1,410,4,1,88,3,4,8,2,0,16015,15896,1,0,1,19,3,2,80,0,22,2,3,22,10,0,4
1109,30,0,1288,2,29,4,2,1,1568,3,1,33,3,3,3,2,1,9250,17799,3,0,1,12,3,2,80,1,9,3,3,4,2,1,3
77,45,0,193,1,6,4,3,1,101,4,1,52,3,3,4,1,1,13245,15067,4,0,0,14,3,2,80,0,17,3,4,0,0,0,0
961,35,1,482,1,4,4,1,1,1350,3,1,87,3,2,7,3,0,4249,2690,1,0,0,11,3,2,80,0,9,3,3,9,6,1,1
963,38,0,1009,2,2,2,1,1,1355,2,0,31,3,2,3,1,2,6893,19461,3,0,1,15,3,4,80,1,11,3,3,7,7,1,7
828,18,2,247,1,8,1,5,1,1156,3,1,80,3,1,2,3,0,1904,13556,1,0,1,12,3,4,80,0,0,0,3,0,0,0,0
1353,34,2,967,1,16,4,2,1,1905,4,1,85,1,1,7,1,1,2307,14460,1,0,0,23,4,2,80,1,5,2,3,5,2,3,0
581,30,0,921,1,1,3,1,1,806,4,1,38,1,1,2,3,1,3833,24375,3,0,1,21,4,3,80,2,7,2,3,2,2,0,2
1017,27,0,1377,1,11,1,1,1,1434,2,1,91,3,1,2,1,1,2099,7679,0,0,1,14,3,2,80,0,6,3,4,5,0,1,4
982,38,1,693,1,7,3,1,1,1382,4,1,57,4,1,7,3,2,2610,15748,1,0,1,11,3,4,80,3,4,2,3,4,2,0,3
1350,27,0,511,2,2,2,5,1,1898,1,0,89,4,2,3,3,0,6500,26997,0,0,1,14,3,2,80,0,9,5,2,8,7,0,7
1070,28,1,467,2,7,3,1,1,1507,3,1,55,3,2,3,1,0,4898,11827,0,0,1,14,3,4,80,0,5,5,3,4,2,1,3
695,37,0,625,2,1,4,1,1,970,1,1,46,2,3,3,3,1,10609,14922,5,0,1,11,3,3,80,0,17,2,1,14,1,11,7
202,34,1,878,1,10,4,5,1,277,4,1,43,3,1,7,3,2,3815,5972,1,0,0,17,3,4,80,1,5,4,4,5,3,2,0
532,47,0,703,2,14,4,4,1,728,4,1,42,3,2,3,1,0,4960,11825,2,0,1,12,3,4,80,0,20,2,3,7,7,1,7
159,34,1,303,2,2,4,4,1,216,3,0,75,3,1,6,3,1,2231,11314,6,0,1,18,3,4,80,1,6,3,3,4,3,1,2
833,27,0,199,1,6,3,1,1,1162,4,1,55,2,1,7,3,1,2539,7950,1,0,1,13,3,3,80,1,4,0,3,4,2,2,2
1437,39,2,105,1,9,3,1,1,2022,4,1,87,3,5,8,4,0,19431,15302,2,0,1,13,3,3,80,0,21,3,2,6,0,1,3
701,53,0,1376,2,2,2,5,1,981,3,1,45,3,4,8,3,2,14852,13938,6,0,1,13,3,3,80,1,22,3,4,17,13,15,2
1309,26,0,572,2,10,3,5,1,1836,3,1,46,3,2,3,4,0,4684,9125,1,0,1,13,3,1,80,0,5,4,3,5,3,1,2
889,27,0,1103,1,14,3,1,1,1244,1,1,42,3,1,7,1,1,2235,14377,1,0,0,14,3,4,80,2,9,3,2,9,7,6,8
616,51,0,1318,2,26,4,4,1,851,1,0,66,3,4,8,3,1,16307,5594,2,0,1,14,3,3,80,1,29,2,2,20,6,4,17
1100,35,0,1402,2,28,4,1,1,1554,2,0,98,2,1,6,3,1,2430,26204,0,0,1,23,4,1,80,2,6,5,3,5,3,4,2
947,52,0,1030,2,5,3,1,1,1319,2,1,64,3,3,3,2,0,8446,21534,9,0,0,19,3,3,80,0,10,2,2,8,7,7,7
652,37,2,1252,2,19,2,5,1,904,1,1,32,3,3,3,2,0,7642,4814,1,0,0,13,3,4,80,0,10,2,3,10,0,0,9
403,41,0,645,2,1,3,4,1,534,2,1,49,4,3,3,1,1,8392,19566,1,0,1,16,3,3,80,1,10,2,3,10,7,0,7
396,43,0,1473,1,8,4,3,1,526,3,0,74,3,2,0,3,2,4522,2227,4,0,0,14,3,4,80,0,8,3,3,5,2,0,2
541,36,2,427,1,8,3,1,1,742,1,0,63,4,3,4,1,1,11713,20335,9,0,1,14,3,1,80,1,10,2,3,8,7,0,5
214,30,0,1005,1,3,3,2,1,297,4,0,88,3,1,7,1,0,2657,8556,5,0,0,11,3,3,80,0,8,5,3,5,2,0,4
1195,49,0,809,1,1,3,1,1,1677,3,1,36,3,4,8,3,0,15379,22384,4,0,1,14,3,1,80,0,23,2,3,8,7,0,0
858,53,0,1223,1,7,2,5,1,1201,4,0,50,3,5,8,3,2,18606,18640,3,0,1,18,3,2,80,1,26,6,3,7,7,4,7
1241,32,0,371,2,19,3,1,1,1739,4,1,80,1,3,3,3,1,9610,3840,3,0,1,13,3,3,80,1,10,2,1,4,3,0,2
1356,41,0,337,2,8,3,4,1,1909,3,0,54,3,2,3,2,1,4393,26841,5,0,1,21,4,3,80,1,14,3,3,5,4,1,4
1066,33,0,1099,1,4,4,5,1,1502,1,0,82,2,1,2,2,1,3838,8192,8,0,1,11,3,4,80,0,8,5,3,5,4,0,2
1080,46,0,228,2,3,3,1,1,1527,3,0,51,3,4,8,2,1,16606,11380,8,0,1,12,3,4,80,1,23,2,4,13,12,5,1
1417,31,0,1154,2,2,2,1,1,1996,1,1,54,3,1,6,3,1,3067,6393,0,0,1,19,3,3,80,1,3,1,3,2,2,1,2
1394,32,0,1373,1,5,4,1,1,1966,4,1,56,2,2,1,4,0,9679,10138,8,0,1,24,4,2,80,0,8,1,3,1,0,0,0
886,30,0,1465,1,1,3,5,1,1241,4,1,63,3,1,7,2,1,3579,9369,0,0,0,21,4,1,80,1,12,2,3,11,9,5,7
120,30,1,1312,1,23,3,1,1,159,1,1,96,1,1,7,3,2,2613,22310,1,0,1,25,4,3,80,3,10,2,2,10,7,0,9
943,46,0,991,0,1,2,1,1,1314,4,0,44,3,1,5,1,0,3423,22957,6,0,1,12,3,3,80,0,10,3,4,7,6,5,7
1255,33,0,211,2,16,3,1,1,1758,1,0,74,3,3,3,1,0,8564,10092,2,0,0,20,4,3,80,0,11,2,2,0,0,0,0
600,32,0,859,1,4,3,1,1,830,3,0,98,2,2,1,3,1,6162,19124,1,0,1,12,3,3,80,1,14,3,3,14,13,6,8
1237,32,0,964,2,1,2,1,1,1734,1,1,34,1,2,3,2,0,6735,12147,6,0,1,15,3,2,80,0,10,2,3,0,0,0,0
938,58,0,848,1,23,4,1,1,1308,1,1,88,3,1,7,3,2,2372,26076,1,0,1,12,3,4,80,2,2,3,3,2,2,2,2
463,26,0,471,1,24,3,2,1,622,3,1,66,1,1,2,4,0,2340,23213,1,0,0,18,3,2,80,0,1,3,1,1,0,0,0
575,54,0,376,1,19,4,5,1,799,4,0,95,3,2,1,1,2,5485,22670,9,0,0,11,3,2,80,2,9,4,3,5,3,1,4
161,27,2,691,1,9,3,5,1,218,4,1,57,3,1,7,2,2,2024,5970,6,0,1,18,3,4,80,1,6,1,1,2,2,2,2
978,40,0,1202,1,2,1,5,1,1375,2,0,89,4,2,0,3,2,6377,13888,5,0,1,20,4,2,80,3,15,0,3,12,11,11,8
